#req	time (sec)	avg. time (sec)	mapping
237	7.440	1.608	OK
238	0.581	1.661	OK
239	9.735	2.577	OK
240	0.012	2.567	ERR
241	0.077	2.378	ERR
242	2.565	2.545	OK
243	0.107	2.119	ERR
244	0.838	2.193	ERR
245	8.247	2.961	OK
246	6.403	3.600	OK
247	0.101	2.867	ERR
248	0.691	2.878	ERR
249	0.653	1.969	ERR
250	0.017	1.970	ERR
251	3.566	2.319	OK
252	4.066	2.469	OK
253	0.519	2.510	ERR
254	0.133	2.440	ERR
255	2.907	1.906	OK
256	0.084	1.274	ERR
257	0.163	1.280	ERR
258	0.308	1.242	OK
259	2.744	1.451	OK
260	3.437	1.793	OK
261	3.296	1.766	OK
262	0.010	1.360	ERR
263	0.019	1.310	ERR
264	3.283	1.625	OK
265	1.138	1.448	OK
266	7.294	2.169	OK
267	0.225	2.175	OK
268	4.910	2.636	OK
269	0.736	2.435	OK
270	6.021	2.693	OK
271	1.933	2.557	OK
272	0.059	2.562	ERR
273	6.095	3.169	OK
274	0.021	2.843	ERR
275	0.071	2.737	ERR
276	10.629	3.070	OK
277	2.158	3.263	OK
278	7.133	3.486	OK
279	0.730	3.485	ERR
280	0.581	2.941	ERR
281	4.871	3.235	OK
282	0.895	3.318	ERR
283	0.106	2.719	ERR
284	0.169	2.734	ERR
285	0.019	2.729	ERR
286	0.888	1.755	ERR
287	0.099	1.549	ERR
288	9.963	1.832	OK
289	0.128	1.772	ERR
290	3.387	2.052	OK
291	0.132	1.579	ERR
292	7.576	2.247	OK
293	6.071	2.843	OK
294	0.448	2.871	ERR
295	0.302	2.899	OK
296	8.360	3.647	OK
297	0.091	3.646	ERR
298	0.114	2.661	ERR
299	0.706	2.719	ERR
300	0.117	2.392	ERR
301	0.017	2.380	ERR
302	0.150	1.638	ERR
303	5.897	1.620	OK
304	9.185	2.494	OK
305	3.667	2.830	OK
306	0.128	2.007	ERR
307	0.065	2.004	ERR
308	7.428	2.736	OK
309	5.248	3.190	OK
310	7.631	3.941	OK
311	4.674	4.407	OK
312	3.254	4.718	OK
313	4.193	4.547	OK
314	7.769	4.406	OK
315	5.994	4.638	OK
316	0.010	4.627	ERR
317	0.133	4.633	ERR
318	0.123	3.903	ERR
319	0.117	3.390	ERR
320	0.010	2.628	ERR
321	0.077	2.168	ERR
322	6.257	2.468	OK
323	0.069	2.056	ERR
324	6.183	1.897	OK
325	4.290	1.727	OK
326	0.140	1.740	ERR
327	0.036	1.730	ERR
328	0.087	1.727	ERR
329	0.616	1.776	ERR
330	3.641	2.140	OK
331	3.435	2.475	OK
332	10.266	2.876	OK
333	12.673	4.137	OK
334	5.554	4.074	OK
335	0.119	3.657	ERR
336	0.088	3.652	ERR
337	6.555	4.303	OK
338	0.112	4.306	ERR
339	0.436	4.288	ERR
340	2.875	4.211	OK
341	0.090	3.877	ERR
342	0.144	2.865	ERR
343	0.310	1.628	OK
344	0.171	1.090	ERR
345	3.078	1.386	OK
346	4.520	1.829	OK
347	0.145	1.188	ERR
348	2.903	1.467	OK
349	0.346	1.458	OK
350	6.674	1.838	OK
351	0.137	1.843	ERR
352	0.069	1.835	ERR
353	5.691	2.373	OK
354	0.329	2.389	OK
355	5.031	2.585	OK
356	0.142	2.147	ERR
357	0.124	2.145	ERR
358	0.087	1.863	ERR
359	0.093	1.838	ERR
360	0.018	1.172	ERR
361	0.102	1.169	ERR
362	5.806	1.742	OK
363	0.146	1.188	ERR
364	0.021	1.157	ERR
365	0.080	0.662	ERR
366	7.791	1.427	OK
367	4.590	1.873	OK
368	0.152	1.880	ERR
369	6.704	2.541	OK
370	0.702	2.610	ERR
371	4.716	3.071	OK
372	1.321	2.622	OK
373	10.051	3.613	OK
374	3.517	3.963	OK
375	5.677	4.522	OK
376	0.105	3.754	ERR
377	4.538	3.748	OK
378	0.763	3.809	ERR
379	9.475	4.087	OK
380	0.648	4.081	ERR
381	0.053	3.615	ERR
382	0.030	3.486	ERR
383	0.524	2.533	ERR
384	5.570	2.738	OK
385	3.865	2.557	OK
386	0.156	2.562	ERR
387	5.832	2.692	OK
388	1.769	2.792	OK
389	0.080	1.853	ERR
390	1.207	1.909	ERR
391	0.887	1.992	OK
392	0.116	2.000	ERR
393	1.778	2.126	OK
394	0.116	1.580	ERR
395	6.035	1.798	OK
396	0.066	1.789	ERR
397	0.360	1.241	OK
398	7.437	1.808	OK
399	0.074	1.808	ERR

---- Final results ----
400 NS requests
172 failed requests
228 success requests
19 improved requests
1105.940 ellapsed time
