#req	time (sec)	avg. time (sec)	mapping
238	0.825	3.486	OK
239	0.045	2.525	ERR
240	2.729	2.788	OK
241	0.666	2.799	ERR
242	2.358	2.504	OK
243	0.581	2.088	ERR
244	1.546	2.235	ERR
245	7.164	2.808	OK
246	9.333	3.675	OK
247	0.101	2.535	ERR
248	0.916	2.544	ERR
249	0.093	2.549	ERR
250	0.036	2.279	ERR
251	3.377	2.551	OK
252	3.283	2.643	OK
253	0.299	2.615	ERR
254	0.065	2.467	ERR
255	2.547	2.005	OK
256	4.962	1.568	OK
257	4.633	2.021	OK
258	1.544	2.084	OK
259	2.463	2.321	OK
260	5.313	2.849	OK
261	8.732	3.384	OK
262	0.067	3.062	ERR
263	0.018	3.034	ERR
264	7.811	3.809	OK
265	19.027	5.457	OK
266	1.795	5.140	OK
267	0.088	4.686	ERR
268	3.336	4.865	OK
269	1.406	4.759	OK
270	0.708	4.299	OK
271	3.108	3.736	OK
272	8.540	4.584	OK
273	0.843	4.666	OK
274	0.077	3.893	ERR
275	0.660	2.056	OK
276	0.120	1.889	ERR
277	5.361	2.416	OK
278	10.166	3.099	OK
279	1.409	3.099	ERR
280	4.514	3.480	OK
281	5.331	3.702	OK
282	5.603	3.408	OK
283	5.102	3.834	OK
284	0.138	3.840	ERR
285	0.141	3.789	ERR
286	0.312	3.808	OK
287	0.579	3.330	ERR
288	7.259	3.039	OK
289	0.137	2.912	ERR
290	3.773	2.837	OK
291	0.162	2.321	ERR
292	15.867	3.347	OK
293	4.310	3.268	OK
294	2.478	3.502	OK
295	8.739	4.362	OK
296	8.960	5.226	OK
297	0.088	5.177	ERR
298	0.118	4.463	ERR
299	0.706	4.520	ERR
300	4.354	4.578	OK
301	8.280	5.390	OK
302	0.169	3.820	ERR
303	5.420	3.931	OK
304	0.608	3.744	OK
305	2.235	3.094	OK
306	0.173	2.215	ERR
307	1.243	2.331	ERR
308	1.935	2.512	OK
309	12.843	3.726	OK
310	11.669	4.457	OK
311	2.951	3.924	OK
312	8.315	4.739	OK
313	1.115	4.309	ERR
314	0.157	4.264	ERR
315	2.321	4.272	OK
316	0.304	4.285	ERR
317	6.513	4.812	OK
318	0.164	4.635	ERR
319	2.581	3.609	OK
320	0.023	2.444	ERR
321	0.083	2.158	ERR
322	12.578	2.584	OK
323	0.891	2.562	ERR
324	0.097	2.555	ERR
325	0.075	2.331	ERR
326	0.036	2.304	ERR
327	1.976	1.850	ERR
328	2.942	2.128	OK
329	6.857	2.556	OK
330	3.440	2.897	OK
331	4.086	3.298	OK
332	10.207	3.061	OK
333	14.781	4.450	OK
334	0.072	4.447	ERR
335	0.133	4.453	ERR
336	6.048	5.054	OK
337	3.395	5.196	OK
338	0.111	4.913	ERR
339	8.226	5.050	OK
340	3.194	5.025	OK
341	0.410	4.658	OK
342	0.016	3.639	ERR
343	0.358	2.196	OK
344	0.375	2.227	ERR
345	2.752	2.488	OK
346	0.127	1.896	ERR
347	0.038	1.561	ERR
348	6.085	2.158	OK
349	1.131	1.449	OK
350	0.068	1.136	ERR
351	0.159	1.111	ERR
352	4.773	1.587	OK
353	1.127	1.663	OK
354	0.306	1.657	OK
355	1.050	1.487	OK
356	0.060	1.480	ERR
357	0.136	1.490	ERR
358	1.218	1.003	ERR
359	0.126	0.902	ERR
360	19.102	2.806	OK
361	0.103	2.800	ERR
362	7.795	3.102	OK
363	0.157	3.005	ERR
364	0.393	3.014	ERR
365	0.105	2.920	ERR
366	0.341	2.948	ERR
367	3.571	3.291	OK
368	0.167	3.186	ERR
369	2.228	3.396	OK
370	0.057	1.492	ERR
371	7.116	2.193	OK
372	0.923	1.506	ERR
373	0.482	1.538	ERR
374	3.183	1.817	OK
375	8.878	2.695	OK
376	0.051	2.666	ERR
377	7.557	3.064	OK
378	1.814	3.229	ERR
379	6.237	3.630	OK
380	0.462	3.670	ERR
381	6.844	3.643	OK
382	0.025	3.553	ERR
383	0.185	3.524	ERR
384	0.608	3.266	OK
385	3.078	2.686	OK
386	2.214	2.902	OK
387	12.739	3.421	OK
388	4.781	3.717	OK
389	0.043	3.098	ERR
390	0.019	3.054	ERR
391	1.632	2.532	OK
392	0.015	2.531	ERR
393	7.627	3.276	OK
394	1.469	3.362	ERR
395	7.233	3.777	OK
396	1.837	3.739	OK
397	1.285	2.594	ERR
398	4.822	2.598	OK
399	0.065	2.600	ERR

---- Final results ----
400 NS requests
151 failed requests
249 success requests
22 improved requests
1222.966 ellapsed time
