#req	time (sec)	avg. time (sec)	mapping
213	0.025	0.778	ERR
214	5.730	1.049	OK
215	0.420	1.089	OK
MEJORA: 88 better than: 80
MEJORA: 80 better than: 56
216	1.777	1.010	OK
MEJORA: 72 better than: 64
217	1.777	1.186	OK
218	0.033	1.188	ERR
219	0.022	0.987	ERR
220	0.016	0.986	ERR
221	0.010	0.984	ERR
222	0.033	0.984	ERR
223	4.989	1.481	OK
MEJORA: 80 better than: 72
MEJORA: 72 better than: 66
224	2.706	1.178	OK
225	1.182	1.254	OK
226	0.021	1.079	ERR
227	1.995	1.101	OK
228	0.329	1.130	ERR
229	0.021	1.130	ERR
230	0.019	1.130	ERR
231	3.142	1.444	OK
232	0.024	1.443	ERR
233	0.010	0.945	ERR
MEJORA: 60 better than: 53
MEJORA: 53 better than: 41
MEJORA: 41 better than: 21
234	3.588	1.033	OK
235	0.027	0.918	ERR
236	0.019	0.918	ERR
237	0.025	0.721	ERR
238	0.032	0.691	ERR
MEJORA: 48 better than: 44
MEJORA: 44 better than: 40
MEJORA: 40 better than: 14
239	4.674	1.156	OK
240	0.013	1.155	ERR
241	0.916	0.933	OK
242	0.016	0.932	ERR
243	0.215	0.953	OK
244	1.197	0.714	OK
245	0.020	0.713	ERR
246	0.023	0.713	ERR
247	1.035	0.814	ERR
248	2.876	1.099	OK
249	1.472	0.778	OK
250	0.033	0.780	ERR
251	0.020	0.691	ERR
252	0.025	0.692	ERR
253	0.024	0.672	ERR
254	0.024	0.555	ERR
255	0.019	0.555	ERR
256	0.537	0.606	OK
257	2.555	0.758	OK
258	0.024	0.473	ERR
MEJORA: 60 better than: 58
MEJORA: 58 better than: 40
259	4.385	0.765	OK
260	0.016	0.763	ERR
261	2.151	0.976	OK
262	1.581	1.132	ERR
263	2.429	1.372	OK
264	6.706	2.040	OK
265	4.988	2.537	OK
266	0.025	2.486	ERR
267	0.010	2.232	ERR
268	0.017	2.231	ERR
269	0.020	1.794	ERR
270	0.021	1.795	ERR
271	0.020	1.582	ERR
272	1.574	1.581	OK
273	5.144	1.853	OK
274	0.032	1.185	ERR
275	0.024	0.689	ERR
276	0.026	0.689	ERR
277	1.733	0.861	OK
278	0.028	0.862	ERR
279	0.015	0.862	ERR
280	0.027	0.862	ERR
281	0.032	0.863	ERR
282	3.699	1.076	OK
283	0.626	0.624	OK
284	0.017	0.623	ERR
285	0.013	0.622	ERR
MEJORA: 102 better than: 101
MEJORA: 101 better than: 93
MEJORA: 93 better than: 77
MEJORA: 77 better than: 71
286	3.150	0.934	OK
MEJORA: 24 better than: 22
287	3.131	1.074	OK
288	0.013	1.072	ERR
289	0.025	1.073	ERR
290	0.016	1.072	ERR
291	0.022	1.071	ERR
292	0.013	0.702	ERR
293	1.703	0.810	OK
294	0.016	0.810	ERR
295	0.021	0.811	ERR
296	2.108	0.707	OK
297	0.025	0.396	ERR
298	0.019	0.397	ERR
MEJORA: 40 better than: 36
299	2.493	0.644	OK
