#req	time (sec)	avg. time (sec)	mapping
211	0.024	0.929	ERR
212	0.032	0.930	ERR
213	0.024	0.869	ERR
MEJORA: 16 better than: 10
214	2.737	1.065	OK
215	0.842	1.147	OK
MEJORA: 34 better than: 32
216	5.711	0.978	OK
MEJORA: 60 better than: 57
MEJORA: 57 better than: 44
MEJORA: 44 better than: 43
217	9.447	1.921	OK
218	0.032	1.923	ERR
219	0.022	1.890	ERR
220	0.015	1.889	ERR
221	0.010	1.887	ERR
222	0.031	1.887	ERR
223	4.231	2.308	OK
224	5.344	2.568	OK
225	1.291	2.613	OK
226	0.021	2.044	ERR
227	0.542	1.154	OK
MEJORA: 56 better than: 52
MEJORA: 52 better than: 30
228	3.763	1.527	OK
229	0.020	1.527	ERR
230	0.019	1.527	ERR
231	6.829	2.209	OK
232	0.024	2.208	ERR
233	0.010	1.786	ERR
234	3.316	1.583	OK
235	0.028	1.457	ERR
236	0.019	1.457	ERR
237	0.024	1.405	ERR
238	0.031	1.032	ERR
MEJORA: 21 better than: 16
239	8.693	1.899	OK
240	0.013	1.899	ERR
241	0.675	1.283	ERR
242	0.016	1.282	ERR
243	0.249	1.306	OK
244	5.287	1.503	OK
245	0.019	1.503	ERR
246	0.022	1.503	ERR
247	1.039	1.604	OK
248	1.239	1.725	OK
249	0.620	0.918	OK
250	1.297	1.046	ERR
251	0.019	0.981	ERR
252	0.024	0.981	ERR
253	0.024	0.959	ERR
254	0.024	0.433	ERR
255	0.019	0.433	ERR
256	5.996	1.030	OK
257	5.378	1.464	OK
258	0.025	1.343	ERR
259	0.927	1.373	OK
260	0.016	1.245	ERR
MEJORA: 66 better than: 50
261	11.732	2.416	OK
262	0.737	2.488	ERR
263	2.497	2.735	OK
264	7.153	3.448	OK
265	6.466	4.093	OK
266	0.025	3.495	ERR
267	0.010	2.959	ERR
268	0.016	2.958	ERR
269	0.019	2.867	ERR
270	0.021	2.867	ERR
271	0.020	1.696	ERR
272	3.930	2.016	OK
273	1.180	1.884	OK
274	0.032	1.172	ERR
275	0.024	0.528	ERR
276	0.026	0.528	ERR
277	0.377	0.565	ERR
278	0.027	0.566	ERR
279	0.015	0.565	ERR
280	0.027	0.566	ERR
281	0.032	0.567	ERR
282	7.477	0.922	OK
MEJORA: 30 better than: 24
283	2.296	1.033	OK
284	0.016	1.032	ERR
285	0.013	1.031	ERR
286	0.711	1.099	ERR
287	7.865	1.848	OK
288	0.013	1.846	ERR
289	0.024	1.847	ERR
290	0.016	1.846	ERR
291	0.022	1.845	ERR
292	0.012	1.099	ERR
293	3.437	1.213	OK
294	0.016	1.213	ERR
295	0.020	1.214	ERR
296	1.033	1.246	OK
297	0.024	0.462	ERR
298	0.019	0.462	ERR
299	7.065	1.167	OK
300	3.984	1.563	OK
301	0.945	1.656	OK
302	0.552	1.710	OK
303	0.022	1.368	ERR
MEJORA: 31 better than: 27
304	7.393	2.106	OK
305	0.015	2.105	ERR
306	4.970	2.499	OK
307	6.375	3.134	OK
308	0.302	3.162	OK
309	4.789	2.935	OK
310	0.025	2.539	ERR
311	0.022	2.446	ERR
312	0.021	2.393	ERR
313	5.931	2.984	OK
314	0.015	2.246	ERR
315	0.010	2.246	ERR
316	5.911	2.340	OK
317	0.106	1.713	ERR
318	0.024	1.685	ERR
319	0.010	1.207	ERR
320	0.016	1.207	ERR
321	0.019	1.206	ERR
322	0.018	1.206	ERR
323	0.031	0.616	ERR
324	0.372	0.652	ERR
MEJORA: 43 better than: 42
MEJORA: 42 better than: 34
325	4.780	1.129	OK
326	0.016	0.539	ERR
327	0.032	0.532	ERR
328	1.238	0.653	OK
329	0.021	0.654	ERR
330	0.022	0.655	ERR
331	0.024	0.655	ERR
332	0.016	0.655	ERR
333	0.031	0.655	ERR
334	1.080	0.726	OK
335	0.016	0.249	ERR
336	0.025	0.250	ERR
MEJORA: 53 better than: 52
MEJORA: 52 better than: 48
MEJORA: 48 better than: 47
337	9.547	1.202	OK
338	0.018	1.080	ERR
339	0.016	1.080	ERR
340	8.246	1.902	OK
MEJORA: 58 better than: 42
341	8.519	2.751	OK
342	7.410	3.491	OK
343	5.836	4.071	OK
344	2.936	4.257	OK
345	6.794	4.935	OK
346	0.032	4.935	ERR
347	1.762	4.157	OK
348	0.010	4.156	ERR
349	0.016	4.156	ERR
350	0.019	3.333	ERR
351	0.021	2.483	ERR
352	4.491	2.192	OK
353	0.998	1.708	OK
354	0.022	1.416	ERR
355	0.024	0.739	ERR
356	0.022	0.738	ERR
357	3.337	0.896	OK
358	4.479	1.343	OK
359	0.016	1.343	ERR
360	0.019	1.343	ERR
361	6.796	2.020	OK
362	3.429	1.914	OK
363	2.739	2.088	ERR
364	5.430	2.629	OK
365	6.147	3.241	OK
366	0.017	3.241	ERR
367	0.018	2.909	ERR
368	0.010	2.462	ERR
369	0.016	2.462	ERR
370	0.739	2.534	OK
371	1.276	1.982	OK
372	0.020	1.641	ERR
373	0.021	1.369	ERR
374	0.017	0.828	ERR
375	0.023	0.216	ERR
MEJORA: 66 better than: 54
MEJORA: 54 better than: 42
376	5.602	0.774	OK
377	0.026	0.775	ERR
378	5.851	1.359	OK
379	0.025	1.360	ERR
380	0.020	1.288	ERR
381	0.019	1.162	ERR
382	0.836	1.244	ERR
383	0.026	1.244	ERR
384	1.349	1.378	OK
385	0.020	1.377	ERR
386	0.033	0.821	ERR
387	0.032	0.821	ERR
388	0.016	0.238	ERR
389	0.847	0.320	ERR
390	5.802	0.898	OK
391	0.033	0.899	ERR
MEJORA: 56 better than: 42
MEJORA: 42 better than: 38
392	5.538	1.370	OK
393	1.572	1.524	OK
394	0.022	1.391	ERR
395	0.016	1.391	ERR
396	0.018	1.390	ERR
397	0.019	1.388	ERR
MEJORA: 30 better than: 29
MEJORA: 29 better than: 21
MEJORA: 21 better than: 19
398	5.578	1.944	OK
399	0.019	1.862	ERR

---- Final results ----
400 NS requests
243 failed requests
157 success requests
29 improved requests
630.810 ellapsed time
