#req	time (sec)	avg. time (sec)	mapping
221	0.010	1.692	ERR
222	0.032	1.692	ERR
223	6.979	2.387	OK
224	12.252	3.528	OK
225	1.107	3.558	OK
226	0.021	3.484	ERR
227	0.539	2.101	OK
228	2.548	2.353	OK
229	0.021	2.352	ERR
230	0.020	2.353	ERR
231	0.769	2.429	ERR
232	0.025	2.428	ERR
233	0.010	1.731	ERR
234	5.409	1.047	OK
235	0.028	0.939	ERR
236	0.020	0.939	ERR
237	0.025	0.887	ERR
238	0.032	0.636	ERR
239	13.902	2.024	OK
240	0.013	2.023	ERR
241	1.008	2.047	ERR
242	0.016	2.046	ERR
243	0.365	2.082	OK
244	0.019	1.543	ERR
245	0.020	1.542	ERR
246	0.022	1.542	ERR
247	1.050	1.645	OK
248	1.097	1.751	OK
249	0.644	0.425	OK
250	0.113	0.435	ERR
251	0.020	0.337	ERR
252	0.024	0.337	ERR
253	0.024	0.303	ERR
254	0.024	0.304	ERR
255	0.020	0.304	ERR
256	6.311	0.933	OK
257	5.457	1.374	OK
258	0.025	1.266	ERR
259	0.915	1.293	OK
260	0.016	1.284	ERR
261	5.742	1.856	OK
262	0.890	1.943	ERR
263	6.142	2.554	OK
MEJORA: 40 better than: 35
264	15.605	4.112	OK
265	7.749	4.885	OK
266	0.025	4.257	ERR
267	0.010	3.712	ERR
268	0.016	3.711	ERR
269	0.020	3.622	ERR
270	0.021	3.622	ERR
271	0.021	3.050	ERR
272	4.310	3.392	OK
273	1.347	2.912	OK
274	0.032	1.355	ERR
275	0.025	0.583	ERR
276	0.026	0.583	ERR
277	2.286	0.810	OK
278	0.028	0.812	ERR
279	0.015	0.811	ERR
280	0.028	0.812	ERR
281	0.032	0.813	ERR
282	10.682	1.450	OK
MEJORA: 30 better than: 24
MEJORA: 24 better than: 18
283	2.469	1.562	OK
284	0.016	1.561	ERR
285	0.013	1.559	ERR
286	1.264	1.683	ERR
287	5.498	2.005	OK
288	0.013	2.003	ERR
289	0.025	2.004	ERR
290	0.016	2.003	ERR
291	0.022	2.002	ERR
292	0.013	0.935	ERR
293	5.635	1.252	OK
294	0.017	1.252	ERR
295	0.021	1.252	ERR
296	0.790	1.205	OK
297	0.026	0.658	ERR
298	0.020	0.658	ERR
299	8.220	1.478	OK
300	4.452	1.921	OK
301	0.685	1.988	OK
302	0.575	2.044	OK
303	0.023	1.483	ERR
304	11.881	2.669	OK
305	0.016	2.669	ERR
306	5.613	3.151	OK
307	11.443	4.293	OK
308	0.379	4.329	OK
309	5.858	4.092	OK
310	0.025	3.650	ERR
311	0.022	3.583	ERR
312	0.022	3.528	ERR
313	2.581	3.784	ERR
314	0.015	2.597	ERR
315	0.010	2.597	ERR
316	8.230	2.858	OK
MEJORA: 44 better than: 38
317	10.371	2.751	OK
318	0.026	2.716	ERR
319	0.010	2.131	ERR
320	0.017	2.130	ERR
321	0.020	2.130	ERR
322	0.019	2.130	ERR
323	0.033	1.875	ERR
324	6.088	2.482	OK
325	0.615	2.543	OK
326	0.017	1.722	ERR
327	0.034	0.688	ERR
328	3.018	0.987	OK
329	0.022	0.988	ERR
330	0.023	0.989	ERR
331	0.026	0.989	ERR
332	0.017	0.989	ERR
333	0.033	0.989	ERR
334	0.915	0.472	OK
335	0.017	0.412	ERR
336	0.027	0.413	ERR
337	17.389	2.149	OK
338	0.019	1.849	ERR
339	0.017	1.848	ERR
MEJORA: 28 better than: 24
340	8.072	2.653	OK
MEJORA: 65 better than: 42
341	11.759	3.826	OK
342	18.057	5.630	OK
343	9.412	6.568	OK
344	3.919	6.869	OK
345	7.800	7.647	OK
346	0.033	7.648	ERR
MEJORA: 32 better than: 24
347	2.029	6.112	OK
348	0.010	6.111	ERR
349	0.017	6.111	ERR
350	0.020	5.306	ERR
351	0.022	4.132	ERR
352	0.973	2.424	OK
353	0.947	1.577	OK
354	0.023	1.187	ERR
355	0.025	0.410	ERR
356	0.023	0.409	ERR
357	0.600	0.266	ERR
358	3.340	0.599	OK
359	0.016	0.599	ERR
360	0.019	0.599	ERR
361	9.705	1.567	OK
362	11.325	2.602	OK
363	17.498	4.258	OK
364	6.390	4.894	OK
365	0.886	4.980	ERR
366	0.017	4.980	ERR
367	0.018	4.921	ERR
368	0.010	4.589	ERR
369	0.016	4.589	ERR
370	0.755	4.662	OK
371	1.214	3.813	OK
372	0.020	2.683	ERR
373	0.022	0.935	ERR
374	0.017	0.298	ERR
375	0.023	0.211	ERR
MEJORA: 44 better than: 38
376	5.270	0.737	OK
377	0.027	0.737	ERR
378	5.394	1.276	OK
379	0.025	1.277	ERR
380	0.020	1.203	ERR
381	0.020	1.084	ERR
MEJORA: 69 better than: 65
382	10.946	2.176	OK
383	0.027	2.177	ERR
384	2.353	2.411	OK
385	0.020	2.410	ERR
386	0.032	1.886	ERR
387	0.032	1.887	ERR
388	0.016	1.349	ERR
389	0.407	1.387	ERR
390	6.136	1.999	OK
391	0.034	2.000	ERR
392	0.013	0.907	ERR
393	1.483	1.053	ERR
394	0.023	0.820	ERR
395	0.017	0.819	ERR
396	0.019	0.818	ERR
397	0.020	0.817	ERR
398	14.643	2.279	OK
399	0.020	2.241	ERR

---- Final results ----
400 NS requests
244 failed requests
156 success requests
17 improved requests
844.341 ellapsed time
